order,family,genus,species,Leaf_Area,Nmass,LMA,Plant_height,Diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Asterales,Asteraceae,Lactuca,Lactuca serriola,739.5,30.26382538,71.41914153,0.969767455,0.4366,NA,0.174083239,0.187089617,0.187089617
Pinales,Pinaceae,Larix,Larix laricina,33,15.28582255,93.58054548,23.39932727,1.5223,0.559910707,NA,NA,0.559910707
Fabales,Fabaceae,Lathyrus,Lathyrus ochroleucus,NA,32.9,NA,0.9,16.64,NA,NA,NA,NA
Fabales,Fabaceae,Lathyrus,Lathyrus venosus,1488.55,33.56725576,47.42724048,0.33,35.05,NA,NA,NA,NA
Malvales,Cistaceae,Lechea,Lechea stricta,NA,NA,NA,0.4,0.2,NA,NA,NA,NA
Poales,Poaceae,Leersia,Leersia oryzoides,999.6,16.4,60,1.07755185,1.1349,NA,NA,NA,NA
Brassicales,Brassicaceae,Lepidium,Lepidium densiflorum,187.22,28.59006471,22.77709336,0.281370652,0.3393,NA,0.119113843,0.158285653,0.158285653
Brassicales,Brassicaceae,Lepidium,Lepidium virginicum,662.75,36.4832476,43.89815628,0.400295889,0.4832,NA,0.17,0.18495,0.18495
Poales,Poaceae,Digitaria,Digitaria cognata,NA,12.94,52.63157892,NA,0.55,NA,NA,NA,NA
Fabales,Fabaceae,Lespedeza,Lespedeza capitata,295.37,21.31478212,72.04352366,0.649699861,2.627,0.29,0.356563781,0.294392136,0.29
Asterales,Asteraceae,Liatris,Liatris aspera,263.36,12.00447878,72.81423431,1.2,1.7699,NA,0.211166605,0.206521301,0.206521301
Asterales,Asteraceae,Liatris,Liatris ligulistylis,NA,NA,NA,NA,1.61,NA,NA,NA,NA
Asterales,Asteraceae,Liatris,Liatris pycnostachya,1103.35,NA,111.8689315,1.06,1.9406,NA,0.262229351,0.23327818,0.23327818
Lamiales,Plantaginaceae,Linaria,Linaria vulgaris,157.58,17.09356384,37.24115838,0.496891383,0.1551,NA,0.189422951,0.195127626,0.195127626
Boraginales,Boraginaceae,Lithospermum,Lithospermum canescens,296.88,15.03855533,72.17986474,0.5,2.81,NA,NA,NA,NA
Boraginales,Boraginaceae,Lithospermum,Lithospermum caroliniense,205.93,17.33330995,73.11348753,0.447213595,5.65,NA,NA,NA,NA
Boraginales,Boraginaceae,Lithospermum,Lithospermum carolinense,205.93,17.33330995,73.11348753,0.447213595,5.65,NA,NA,NA,NA
Asterales,Campanulaceae,Lobelia,Lobelia siphilitica,NA,15.31,70.2,1,0.0288,NA,NA,NA,NA
Asterales,Campanulaceae,Lobelia,Lobelia spicata,107.36,NA,37.76543233,0.313663427,0.1196,NA,0.235576311,0.219311987,0.219311987
Poales,Poaceae,Lolium,Lolium multiflorum,606,22.19923534,39.96456724,0.408692848,2.6332,0.216770525,NA,NA,0.216770525
Dipsacales,Caprifoliaceae,Lonicera,Lonicera dioica,NA,NA,NA,3,5.7962,NA,NA,NA,NA
Dipsacales,Caprifoliaceae,Lonicera,Lonicera tatarica,NA,28,43.72551932,8.987104741,2.9582,NA,NA,NA,NA
Dipsacales,Caprifoliaceae,Lonicera,Lonicera morrowii,NA,28,43.72551932,8.987104741,2.9582,NA,NA,NA,NA
Myrtales,Onagraceae,Ludwigia,Ludwigia polycarpa,NA,NA,NA,NA,0.02,NA,NA,NA,NA
Fabales,Fabaceae,Lupinus,Lupinus perennis,230.63,26.49842858,55.01359783,0.300262169,22.0805,NA,0.140279356,0.144723314,0.144723314
Caryophyllales,Caryophyllaceae,Silene,Silene latifolia,1646.63,NA,48.02853059,0.686351046,0.8218,NA,0.14,0.16923,0.16923
Lamiales,Lamiaceae,Lycopus,Lycopus americanus,353.74,15.75,36.60818101,0.54,0.1268,NA,NA,NA,NA
Lamiales,Lamiaceae,Lycopus,Lycopus uniflorus,NA,NA,NA,0.8,0.2114,NA,NA,NA,NA
Ericales,Primulaceae,Lysimachia,Lysimachia ciliata,NA,12.5,NA,NA,1.24,NA,NA,NA,NA
Ericales,Primulaceae,Lysimachia,Lysimachia thyrsiflora,1613.75,NA,26.25360987,0.503608879,NA,NA,0.2,0.20067,0.20067
Asparagales,Asparagaceae,Maianthemum,Maianthemum canadense,1246.23,19.35047868,35.23704467,0.095519291,9.1628,NA,0.246684828,0.221746127,0.221746127
Fabales,Fabaceae,Medicago,Medicago lupulina,247.91,33.14329316,34.57480816,0.238027748,1.4429,0.2198899,NA,NA,0.2198899
Fabales,Fabaceae,Medicago,Medicago sativa,103.57,39.6652837,50.86218039,0.658772528,2.2701,NA,0.246469345,0.218206787,0.218206787
Fabales,Fabaceae,Melilotus,Melilotus officinalis,156.23,34.8,58.2538351,0.724937994,2.6261,NA,0.232696677,0.208676101,0.208676101
Lamiales,Phrymaceae,Mimulus,Mimulus ringens,NA,NA,NA,1,0.0184,NA,NA,NA,NA
Caryophyllales,Nyctaginaceae,Mirabilis,Mirabilis albida,NA,37.31,62.67281118,NA,NA,NA,NA,NA,NA
Caryophyllales,Nyctaginaceae,Mirabilis,Mirabilis nyctaginea,NA,26.53,61.06750392,NA,5.675,NA,NA,NA,NA
Poales,Poaceae,Miscanthus,Miscanthus giganteus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllales,Molluginaceae,Mollugo,Mollugo verticillata,630,22.27,49,0.1,0.0573,NA,NA,NA,NA
