"","Year","Plot","Treatment","Functional.group","Mass.g.m.2."
"253",2007,38,"SoilDrenchFungicide","C3",23.8
"254",2007,38,"SoilDrenchFungicide","F",0
"255",2007,38,"SoilDrenchFungicide","L",204.9
"256",2007,38,"SoilDrenchFungicide","C4",79.1
"257",2007,38,"SoilDrenchFungicide","W",0
"258",2007,38,"SoilDrenchFungicide","moss_lichen",0
"259",2007,38,"SoilDrenchFungicide","moss",0
"260",2007,39,"Insecticide","C3",27.3
"261",2007,39,"Insecticide","F",17.4
"262",2007,39,"Insecticide","L",196
"263",2007,39,"Insecticide","C4",81.1
"264",2007,39,"Insecticide","W",0
"265",2007,39,"Insecticide","moss_lichen",0
"266",2007,39,"Insecticide","moss",0
"267",2007,40,"FoliarFungicide","C3",17
"268",2007,40,"FoliarFungicide","F",0.4
"269",2007,40,"FoliarFungicide","L",102.2
"270",2007,40,"FoliarFungicide","C4",70.6
"271",2007,40,"FoliarFungicide","W",0
"272",2007,40,"FoliarFungicide","moss_lichen",0
"273",2007,40,"FoliarFungicide","moss",0
"274",2007,41,"Insecticide","C3",0
"275",2007,41,"Insecticide","F",0
"276",2007,41,"Insecticide","L",0
"277",2007,41,"Insecticide","C4",20.3
"278",2007,41,"Insecticide","W",0
"279",2007,41,"Insecticide","moss_lichen",0
"280",2007,41,"Insecticide","moss",0
"281",2007,42,"AllPesticides","C3",0
"282",2007,42,"AllPesticides","F",0
"283",2007,42,"AllPesticides","L",0
"284",2007,42,"AllPesticides","C4",11.8
"285",2007,42,"AllPesticides","W",0
"286",2007,42,"AllPesticides","moss_lichen",0
"287",2007,42,"AllPesticides","moss",0
"288",2007,43,"FoliarFungicide","C3",0
"289",2007,43,"FoliarFungicide","F",0
"290",2007,43,"FoliarFungicide","L",0
"291",2007,43,"FoliarFungicide","C4",35.1
"292",2007,43,"FoliarFungicide","W",0
"293",2007,43,"FoliarFungicide","moss_lichen",0
"294",2007,43,"FoliarFungicide","moss",0
"295",2007,44,"Control","C3",0
"296",2007,44,"Control","F",0
"297",2007,44,"Control","L",0
"298",2007,44,"Control","C4",18.6
"299",2007,44,"Control","W",0
"300",2007,44,"Control","moss_lichen",0
"301",2007,44,"Control","moss",0
"302",2007,45,"SoilDrenchFungicide","C3",0
"303",2007,45,"SoilDrenchFungicide","F",0
"304",2007,45,"SoilDrenchFungicide","L",0
"305",2007,45,"SoilDrenchFungicide","C4",8.6
"306",2007,45,"SoilDrenchFungicide","W",0
"307",2007,45,"SoilDrenchFungicide","moss_lichen",0
"308",2007,45,"SoilDrenchFungicide","moss",0
"309",2007,46,"SoilDrenchFungicide","C3",0
"310",2007,46,"SoilDrenchFungicide","F",0
"311",2007,46,"SoilDrenchFungicide","L",28.7
"312",2007,46,"SoilDrenchFungicide","C4",60.7
"313",2007,46,"SoilDrenchFungicide","W",0
"314",2007,46,"SoilDrenchFungicide","moss_lichen",0
"315",2007,46,"SoilDrenchFungicide","moss",0
"316",2007,47,"Control","C3",0
"317",2007,47,"Control","F",0
"318",2007,47,"Control","L",57.6
"319",2007,47,"Control","C4",24.4
"320",2007,47,"Control","W",0
"321",2007,47,"Control","moss_lichen",0
"322",2007,47,"Control","moss",0
"323",2007,48,"Insecticide","C3",0
"324",2007,48,"Insecticide","F",0
"325",2007,48,"Insecticide","L",31.9
"326",2007,48,"Insecticide","C4",61.4
"327",2007,48,"Insecticide","W",0
"328",2007,48,"Insecticide","moss_lichen",0
"329",2007,48,"Insecticide","moss",0
"330",2007,49,"FoliarFungicide","C3",0
"331",2007,49,"FoliarFungicide","F",0
"332",2007,49,"FoliarFungicide","L",104.5
"333",2007,49,"FoliarFungicide","C4",27.3
"334",2007,49,"FoliarFungicide","W",0
"335",2007,49,"FoliarFungicide","moss_lichen",0
"336",2007,49,"FoliarFungicide","moss",0
"337",2007,50,"AllPesticides","C3",0
"338",2007,50,"AllPesticides","F",0
"339",2007,50,"AllPesticides","L",50.9
"340",2007,50,"AllPesticides","C4",34.2
"341",2007,50,"AllPesticides","W",0
"342",2007,50,"AllPesticides","moss_lichen",0
"343",2007,50,"AllPesticides","moss",0
"344",2007,51,"Control","C3",0
"345",2007,51,"Control","F",0
"346",2007,51,"Control","L",599.6
"347",2007,51,"Control","C4",0
"348",2007,51,"Control","W",0
"349",2007,51,"Control","moss_lichen",0
"350",2007,51,"Control","moss",0
"351",2007,52,"SoilDrenchFungicide","C3",0
"352",2007,52,"SoilDrenchFungicide","F",0
"353",2007,52,"SoilDrenchFungicide","L",587.6
"354",2007,52,"SoilDrenchFungicide","C4",0
"355",2007,52,"SoilDrenchFungicide","W",0
"356",2007,52,"SoilDrenchFungicide","moss_lichen",0
"357",2007,52,"SoilDrenchFungicide","moss",0
"358",2007,53,"FoliarFungicide","C3",0
"359",2007,53,"FoliarFungicide","F",0
"360",2007,53,"FoliarFungicide","L",659.1
"361",2007,53,"FoliarFungicide","C4",0
"362",2007,53,"FoliarFungicide","W",0
"363",2007,53,"FoliarFungicide","moss_lichen",0
"364",2007,53,"FoliarFungicide","moss",0
"365",2007,54,"Insecticide","C3",0
"366",2007,54,"Insecticide","F",0
"367",2007,54,"Insecticide","L",348.1
"368",2007,54,"Insecticide","C4",0
"369",2007,54,"Insecticide","W",0
"370",2007,54,"Insecticide","moss_lichen",0
"371",2007,54,"Insecticide","moss",0
"372",2007,55,"AllPesticides","C3",0
"373",2007,55,"AllPesticides","F",0
"374",2007,55,"AllPesticides","L",702.5
"375",2007,55,"AllPesticides","C4",0
"376",2007,55,"AllPesticides","W",0
"377",2007,55,"AllPesticides","moss_lichen",0
"378",2007,55,"AllPesticides","moss",0
"379",2007,56,"FoliarFungicide","C3",19.7
"380",2007,56,"FoliarFungicide","F",50.1
"381",2007,56,"FoliarFungicide","L",0
"382",2007,56,"FoliarFungicide","C4",0
"383",2007,56,"FoliarFungicide","W",0
"384",2007,56,"FoliarFungicide","moss_lichen",0
"385",2007,56,"FoliarFungicide","moss",0
"386",2007,57,"Insecticide","C3",24.1
"387",2007,57,"Insecticide","F",95
"388",2007,57,"Insecticide","L",0
"389",2007,57,"Insecticide","C4",0
"390",2007,57,"Insecticide","W",0
"391",2007,57,"Insecticide","moss_lichen",0
"392",2007,57,"Insecticide","moss",0
"393",2007,58,"SoilDrenchFungicide","C3",49.2
"394",2007,58,"SoilDrenchFungicide","F",130.7
"395",2007,58,"SoilDrenchFungicide","L",0
"396",2007,58,"SoilDrenchFungicide","C4",0
"397",2007,58,"SoilDrenchFungicide","W",0
"398",2007,58,"SoilDrenchFungicide","moss_lichen",0
"399",2007,58,"SoilDrenchFungicide","moss",0
"400",2007,59,"Control","C3",23
"401",2007,59,"Control","F",35
"402",2007,59,"Control","L",0
"403",2007,59,"Control","C4",0
"404",2007,59,"Control","W",0
"405",2007,59,"Control","moss_lichen",0
"406",2007,59,"Control","moss",0
"407",2007,60,"AllPesticides","C3",19.3
"408",2007,60,"AllPesticides","F",8.5
"409",2007,60,"AllPesticides","L",0
"410",2007,60,"AllPesticides","C4",0
"411",2007,60,"AllPesticides","W",0
"412",2007,60,"AllPesticides","moss_lichen",0
"413",2007,60,"AllPesticides","moss",0
"414",2007,61,"Insecticide","C3",0
"415",2007,61,"Insecticide","F",249
"416",2007,61,"Insecticide","L",0
"417",2007,61,"Insecticide","C4",0
"418",2007,61,"Insecticide","W",0
"419",2007,61,"Insecticide","moss_lichen",0
"420",2007,61,"Insecticide","moss",0
"421",2007,62,"FoliarFungicide","C3",0
"422",2007,62,"FoliarFungicide","F",122.9
"423",2007,62,"FoliarFungicide","L",0
"424",2007,62,"FoliarFungicide","C4",0
"425",2007,62,"FoliarFungicide","W",0
"426",2007,62,"FoliarFungicide","moss_lichen",0
"427",2007,62,"FoliarFungicide","moss",0
"428",2007,63,"SoilDrenchFungicide","C3",0
"429",2007,63,"SoilDrenchFungicide","F",109.6
"430",2007,63,"SoilDrenchFungicide","L",0
"431",2007,63,"SoilDrenchFungicide","C4",0
"432",2007,63,"SoilDrenchFungicide","W",0
"433",2007,63,"SoilDrenchFungicide","moss_lichen",0
"434",2007,63,"SoilDrenchFungicide","moss",0
"435",2007,64,"Control","C3",0
"436",2007,64,"Control","F",411.7
"437",2007,64,"Control","L",0
"438",2007,64,"Control","C4",0
"439",2007,64,"Control","W",0
"440",2007,64,"Control","moss_lichen",0
"441",2007,64,"Control","moss",0
"442",2007,65,"AllPesticides","C3",0
"443",2007,65,"AllPesticides","F",198.9
"444",2007,65,"AllPesticides","L",0
"445",2007,65,"AllPesticides","C4",0
"446",2007,65,"AllPesticides","W",0
"447",2007,65,"AllPesticides","moss_lichen",0
"448",2007,65,"AllPesticides","moss",0
"449",2007,66,"SoilDrenchFungicide","C3",1.7
"450",2007,66,"SoilDrenchFungicide","F",0
"451",2007,66,"SoilDrenchFungicide","L",0
"452",2007,66,"SoilDrenchFungicide","C4",59.7
"453",2007,66,"SoilDrenchFungicide","W",0
"454",2007,66,"SoilDrenchFungicide","moss_lichen",0
"455",2007,66,"SoilDrenchFungicide","moss",0
"456",2007,67,"AllPesticides","C3",0.1
"457",2007,67,"AllPesticides","F",256.6
"458",2007,67,"AllPesticides","L",0
"459",2007,67,"AllPesticides","C4",54.6
"460",2007,67,"AllPesticides","W",0
"461",2007,67,"AllPesticides","moss_lichen",0
"462",2007,67,"AllPesticides","moss",0
"463",2007,68,"Insecticide","C3",1.8
"464",2007,68,"Insecticide","F",56.5
"465",2007,68,"Insecticide","L",0
"466",2007,68,"Insecticide","C4",82.3
"467",2007,68,"Insecticide","W",0
"468",2007,68,"Insecticide","moss_lichen",0
"469",2007,68,"Insecticide","moss",0
"470",2007,69,"Control","C3",1
"471",2007,69,"Control","F",194.7
"472",2007,69,"Control","L",0
"473",2007,69,"Control","C4",64
"474",2007,69,"Control","W",0
"475",2007,69,"Control","moss_lichen",0
"476",2007,69,"Control","moss",0
"477",2007,70,"FoliarFungicide","C3",0.2
"478",2007,70,"FoliarFungicide","F",155.5
"479",2007,70,"FoliarFungicide","L",0
"480",2007,70,"FoliarFungicide","C4",28.7
"481",2007,70,"FoliarFungicide","W",0
"482",2007,70,"FoliarFungicide","moss_lichen",0
"483",2007,70,"FoliarFungicide","moss",0
"484",2007,71,"SoilDrenchFungicide","C3",0
"485",2007,71,"SoilDrenchFungicide","F",0
"486",2007,71,"SoilDrenchFungicide","L",226.2
"487",2007,71,"SoilDrenchFungicide","C4",70.1
"488",2007,71,"SoilDrenchFungicide","W",0
"489",2007,71,"SoilDrenchFungicide","moss_lichen",0
"490",2007,71,"SoilDrenchFungicide","moss",0
"491",2007,72,"FoliarFungicide","C3",0
"492",2007,72,"FoliarFungicide","F",0
"493",2007,72,"FoliarFungicide","L",246.5
"494",2007,72,"FoliarFungicide","C4",109.6
"495",2007,72,"FoliarFungicide","W",0
"496",2007,72,"FoliarFungicide","moss_lichen",0
"497",2007,72,"FoliarFungicide","moss",0
"498",2007,73,"AllPesticides","C3",0
"499",2007,73,"AllPesticides","F",0
"500",2007,73,"AllPesticides","L",79.9
"501",2007,73,"AllPesticides","C4",64.7
"502",2007,73,"AllPesticides","W",0
"503",2007,73,"AllPesticides","moss_lichen",0
"504",2007,73,"AllPesticides","moss",0
"505",2007,74,"Insecticide","C3",0
"506",2007,74,"Insecticide","F",0
"507",2007,74,"Insecticide","L",78.8
"508",2007,74,"Insecticide","C4",34.7
"509",2007,74,"Insecticide","W",0
"510",2007,74,"Insecticide","moss_lichen",0
"511",2007,74,"Insecticide","moss",0
"512",2007,75,"Control","C3",0
"513",2007,75,"Control","F",0
"514",2007,75,"Control","L",129.8
"515",2007,75,"Control","C4",44.9
"516",2007,75,"Control","W",0
"517",2007,75,"Control","moss_lichen",0
"518",2007,75,"Control","moss",0
"519",2007,76,"FoliarFungicide","C3",53
"520",2007,76,"FoliarFungicide","F",2.8
"521",2007,76,"FoliarFungicide","L",105.7
"522",2007,76,"FoliarFungicide","C4",326.5
"523",2007,76,"FoliarFungicide","W",0
"524",2007,76,"FoliarFungicide","moss_lichen",0
"525",2007,76,"FoliarFungicide","moss",0
"526",2007,77,"Insecticide","C3",66.9
"527",2007,77,"Insecticide","F",1.5
"528",2007,77,"Insecticide","L",71.1
"529",2007,77,"Insecticide","C4",156.6
"530",2007,77,"Insecticide","W",0
"531",2007,77,"Insecticide","moss_lichen",0
"532",2007,77,"Insecticide","moss",0
"533",2007,78,"Control","C3",24.2
"534",2007,78,"Control","F",23.2
"535",2007,78,"Control","L",50.8
"536",2007,78,"Control","C4",197.2
"537",2007,78,"Control","W",0
"538",2007,78,"Control","moss_lichen",0
"539",2007,78,"Control","moss",0
"540",2007,79,"AllPesticides","C3",40.1
"541",2007,79,"AllPesticides","F",18.8
"542",2007,79,"AllPesticides","L",128.8
"543",2007,79,"AllPesticides","C4",220.6
"544",2007,79,"AllPesticides","W",0
"545",2007,79,"AllPesticides","moss_lichen",0
"546",2007,79,"AllPesticides","moss",0
"547",2007,80,"SoilDrenchFungicide","C3",12.5
"548",2007,80,"SoilDrenchFungicide","F",8.3
"549",2007,80,"SoilDrenchFungicide","L",126.3
"550",2007,80,"SoilDrenchFungicide","C4",182.1
"551",2007,80,"SoilDrenchFungicide","W",0
"552",2007,80,"SoilDrenchFungicide","moss_lichen",0
"553",2007,80,"SoilDrenchFungicide","moss",0
"554",2007,81,"Insecticide","C3",54.2
"555",2007,81,"Insecticide","F",0.3
"556",2007,81,"Insecticide","L",147.9
"557",2007,81,"Insecticide","C4",95
"558",2007,81,"Insecticide","W",0
"559",2007,81,"Insecticide","moss_lichen",0
"560",2007,81,"Insecticide","moss",0
"561",2007,82,"Control","C3",3.9
"562",2007,82,"Control","F",0
"563",2007,82,"Control","L",18.9
"564",2007,82,"Control","C4",111.7
"565",2007,82,"Control","W",0
"566",2007,82,"Control","moss_lichen",0
"567",2007,82,"Control","moss",0
"568",2007,83,"SoilDrenchFungicide","C3",31.4
"569",2007,83,"SoilDrenchFungicide","F",0
"570",2007,83,"SoilDrenchFungicide","L",103.9
"571",2007,83,"SoilDrenchFungicide","C4",89.1
"572",2007,83,"SoilDrenchFungicide","W",0
"573",2007,83,"SoilDrenchFungicide","moss_lichen",0
"574",2007,83,"SoilDrenchFungicide","moss",0
"575",2007,84,"AllPesticides","C3",28.5
"576",2007,84,"AllPesticides","F",0
"577",2007,84,"AllPesticides","L",93.5
"578",2007,84,"AllPesticides","C4",163.7
"579",2007,84,"AllPesticides","W",0
"580",2007,84,"AllPesticides","moss_lichen",0
"581",2007,84,"AllPesticides","moss",0
"582",2007,85,"FoliarFungicide","C3",22.3
"583",2007,85,"FoliarFungicide","F",0
"584",2007,85,"FoliarFungicide","L",237.3
"585",2007,85,"FoliarFungicide","C4",97.6
"586",2007,85,"FoliarFungicide","W",0
"587",2007,85,"FoliarFungicide","moss_lichen",0
"588",2007,85,"FoliarFungicide","moss",0
"589",2007,86,"Insecticide","C3",1.5
"590",2007,86,"Insecticide","F",501.7
"591",2007,86,"Insecticide","L",0
"592",2007,86,"Insecticide","C4",0
"593",2007,86,"Insecticide","W",0
"594",2007,86,"Insecticide","moss_lichen",0
"595",2007,86,"Insecticide","moss",0
"596",2007,87,"Control","C3",21.4
"597",2007,87,"Control","F",255.6
"598",2007,87,"Control","L",0
"599",2007,87,"Control","C4",0
"600",2007,87,"Control","W",0
"601",2007,87,"Control","moss_lichen",0
