"","Species_Diaz","Species","contrast","estimate","SE","df","t.ratio","p.value","exp","Functional.group","Treatment","Leaf_Area","Nmass","LMA","Plant_height","Diaspore_mass","LDMC"
"35","Aristida basiramea","Aristida basiramea","Control - AllPesticides",-0.126911395236621,0.149847717747237,22.9999999999999,0.846935790177965,0.912917620065584,"Oldfield experiment","C4","AllPesticides",33.02,NA,75.13148009,0.2,NA,NA
"36","Asclepias tuberosa","Asclepias tuberosa","Control - Insecticide",-0.0311520189083774,0.214292533667634,28.0000000000011,0.145371461969338,0.99887720555264,"Biodiversity experiment","F","Insecticide",713.38,24.47777907,50.41300353,0.531013267,6.6079,0.203048777
"37","Asclepias tuberosa","Asclepias tuberosa","Control - AllPesticides",0.166740746917102,0.25715104040116,28.0000000000009,-0.648415602973969,0.915214248360983,"Biodiversity experiment","F","AllPesticides",713.38,24.47777907,50.41300353,0.531013267,6.6079,0.203048777
"38","Asclepias tuberosa","Asclepias tuberosa","Control - FoliarFungicide",0.187576543360709,0.230515710305678,28.0000000000006,-0.813725637666825,0.847460214383262,"Biodiversity experiment","F","FoliarFungicide",713.38,24.47777907,50.41300353,0.531013267,6.6079,0.203048777
"39","Bouteloua curtipendula","Bouteloua curtipendula","Control - SoilDrenchFungicide",-0.265268385169667,0.26645791128519,12.0000000000002,0.995535782331305,0.75475392071309,"Biodiversity experiment","C4","SoilDrenchFungicide",618.62,12.65175911,60.11285386,0.567885664,0.8636,0.478802411
"40","Bouteloua curtipendula","Bouteloua curtipendula","Control - AllPesticides",-0.245269415477773,0.244757220216189,12.0000000000002,1.00209266660706,0.751171396899315,"Biodiversity experiment","C4","AllPesticides",618.62,12.65175911,60.11285386,0.567885664,0.8636,0.478802411
"41","Bouteloua curtipendula","Bouteloua curtipendula","Control - FoliarFungicide",-0.0925208745297428,0.244757220216189,12.0000000000002,0.378010807803835,0.980732943281054,"Biodiversity experiment","C4","FoliarFungicide",618.62,12.65175911,60.11285386,0.567885664,0.8636,0.478802411
"42","Bouteloua gracilis","Bouteloua gracilis","Control - Insecticide",-0.515574650589389,0.157958082100547,24.9999999999999,3.26399664856152,0.0240724401283604,"Biodiversity experiment","C4","Insecticide",NA,NA,NA,NA,NA,NA
"43","Bouteloua gracilis","Bouteloua gracilis","Control - FoliarFungicide",-0.536518110021066,0.157958082100547,25.0000000000001,3.39658536547406,0.0177025585077583,"Biodiversity experiment","C4","FoliarFungicide",NA,NA,NA,NA,NA,NA
"44","Bouteloua gracilis","Bouteloua gracilis","Control - SoilDrenchFungicide",-0.485684870888668,0.157958082100547,25.0000000000001,3.07477062540877,0.0369327711106483,"Biodiversity experiment","C4","SoilDrenchFungicide",NA,NA,NA,NA,NA,NA
"45","Bouteloua gracilis","Bouteloua gracilis","Control - AllPesticides",-0.4212328861547,0.157958082100546,24.9999999999997,2.66673841916217,0.0881877034754718,"Biodiversity experiment","C4","AllPesticides",NA,NA,NA,NA,NA,NA
"46","Coreopsis palmata","Coreopsis palmata","Control - SoilDrenchFungicide",0.15710739552207,0.274352020910021,22.0000000000003,-0.572648945690095,0.977731348979645,"Biodiversity experiment","F","SoilDrenchFungicide",301.32,13.18700307,91.62066143,0.448077873,1.9295,0.311477922
"47","Coreopsis palmata","Coreopsis palmata","Control - Insecticide",0.0718227943254836,0.261584388221629,21.9999999999998,-0.274568351780349,0.998652245515831,"Biodiversity experiment","F","Insecticide",301.32,13.18700307,91.62066143,0.448077873,1.9295,0.311477922
"48","Coreopsis palmata","Coreopsis palmata","Control - AllPesticides",-0.213821825066028,0.274352020910021,22.0000000000004,0.779370329975283,0.933895900109442,"Biodiversity experiment","F","AllPesticides",301.32,13.18700307,91.62066143,0.448077873,1.9295,0.311477922
"49","Coreopsis palmata","Coreopsis palmata","Control - FoliarFungicide",0.79572341506733,0.274352020910021,22.0000000000003,-2.90037380598813,0.0574542153647281,"Biodiversity experiment","F","FoliarFungicide",301.32,13.18700307,91.62066143,0.448077873,1.9295,0.311477922
"50","Dalea purpurea","Petalostemum purpureum","Control - SoilDrenchFungicide",-0.0660760046394538,0.233967980055552,78.9999999999908,0.28241473309196,0.998578748858353,"Biodiversity experiment","L","SoilDrenchFungicide",18.69,24.3,83.85907353,0.535978022,1.8154,NA
"51","Dalea purpurea","Petalostemum purpureum","Control - Insecticide",-0.0403784879047818,0.223369995583435,78.9999999999954,0.180769524569827,0.999755884011876,"Biodiversity experiment","L","Insecticide",18.69,24.3,83.85907353,0.535978022,1.8154,NA
"52","Dalea purpurea","Petalostemum purpureum","Control - FoliarFungicide",0.182223099548374,0.223369995583435,78.9999999999941,-0.815790406730383,0.925033598052714,"Biodiversity experiment","L","FoliarFungicide",18.69,24.3,83.85907353,0.535978022,1.8154,NA
"53","Dalea purpurea","Petalostemum purpureum","Control - AllPesticides",0.162534653547805,0.230050957191338,78.9999999999916,-0.706515876013599,0.954435768025813,"Biodiversity experiment","L","AllPesticides",18.69,24.3,83.85907353,0.535978022,1.8154,NA
"54","Dalea villosa","Petalostemum villosum","Control - SoilDrenchFungicide",-0.567705856965517,0.242415381592661,11.9999999999996,2.34187225759235,0.142712906836667,"Biodiversity experiment","L","SoilDrenchFungicide",NA,24.3937697,97.57606885,NA,1.8894,NA
"55","Dalea villosa","Petalostemum villosum","Control - Insecticide",-0.561157342200165,0.242415381592662,11.9999999999997,2.31485864681267,0.14898797493019,"Biodiversity experiment","L","Insecticide",NA,24.3937697,97.57606885,NA,1.8894,NA
"56","Dalea villosa","Petalostemum villosum","Control - FoliarFungicide",-0.489483488284883,0.242415381592661,11.9999999999996,2.01919319256473,0.234453560352125,"Biodiversity experiment","L","FoliarFungicide",NA,24.3937697,97.57606885,NA,1.8894,NA
"57","Dichanthelium oligosanthes","Panicum oligosanthes","Control - FoliarFungicide",-0.181837200214418,0.266762635090672,35,0.681644189609283,0.982858010567935,"Oldfield experiment","C3","FoliarFungicide",269.44,22.26415454,46.61794476,0.44,1.38,NA
