"","Year","Plot","Subplot","Treatment","FertTrt","Species","Mass.g.m.2."
"137",2009,12,"na","Fenced","n","C3 grasses",6.4
"138",2009,12,"na","Fenced","n","C4 grasses",72.2
"139",2009,12,"na","Fenced","n","Forbes",1.7
"140",2009,12,"na","Fenced","n","Legumes",8.2
"141",2009,12,"na","Fenced","n","Miscellaneous litter",131.05
"142",2009,12,"na","Fenced","n","Mosses",17.75
"143",2009,12,"na","Fenced","n","Sedges",0.95
"144",2009,13,"na","AllPesticides","n","C3 grasses",43.2
"145",2009,13,"na","AllPesticides","n","C4 grasses",64.95
"146",2009,13,"na","AllPesticides","n","Forbes",4.65
"147",2009,13,"na","AllPesticides","n","Legumes",29.15
"148",2009,13,"na","AllPesticides","n","Miscellaneous litter",74.35
"149",2009,13,"na","AllPesticides","n","Sedges",2.15
"150",2009,14,"na","Control","n","C3 grasses",22.4
"151",2009,14,"na","Control","n","C4 grasses",57.65
"152",2009,14,"na","Control","n","Forbes",96.85
"153",2009,14,"na","Control","n","Legumes",0.25
"154",2009,14,"na","Control","n","Miscellaneous litter",157.8
"155",2009,14,"na","Control","n","Sedges",2.55
"156",2009,15,"na","FoliarFungicide","n","C3 grasses",41
"157",2009,15,"na","FoliarFungicide","n","C4 grasses",90.6
"158",2009,15,"na","FoliarFungicide","n","Forbes",30.55
"159",2009,15,"na","FoliarFungicide","n","Legumes",4.45
"160",2009,15,"na","FoliarFungicide","n","Miscellaneous litter",144.25
"161",2009,15,"na","FoliarFungicide","n","Sedges",3
"162",2009,16,"na","Insecticide","n","C3 grasses",23.9
"163",2009,16,"na","Insecticide","n","C4 grasses",61
"164",2009,16,"na","Insecticide","n","Forbes",10.85
"165",2009,16,"na","Insecticide","n","Legumes",6.15
"166",2009,16,"na","Insecticide","n","Miscellaneous litter",83.2
"167",2009,16,"na","Insecticide","n","Sedges",2.85
"168",2009,17,"na","SoilDrenchFungicide","n","C3 grasses",24.85
"169",2009,17,"na","SoilDrenchFungicide","n","C4 grasses",49.15
